condition_model,condition_layer,alpha,evaluation_model,evaluation_layer,scenario,classifier,uar_original,uar_converted,uar_delta,accuracy_original,accuracy_converted,accuracy_delta,diagnostic_only
wavlm,8,0.5,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,8,0.5,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,8,0.5,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.5,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.5,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.5,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,8,0.75,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,8,0.75,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,0.75,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,8,1.0,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,8,1.0,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,8,1.0,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,11,0.1,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,11,0.1,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.1,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,11,0.25,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,11,0.25,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.25,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,11,0.5,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,11,0.5,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.5,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,11,0.75,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,11,0.75,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,0.75,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
wavlm,11,1.0,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
wavlm,11,1.0,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
wavlm,11,1.0,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
xlsr,11,0.1,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.1,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.1,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,wavlm,8,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
xlsr,11,0.25,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.25,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.25,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,wavlm,8,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,wavlm,8,German->Spanish,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.5,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
xlsr,11,0.5,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.5,wavlm,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,wavlm,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.5,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.75,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.75,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.75,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.75,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.75,wavlm,8,German->Spanish,linear_svm,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.75,wavlm,8,German->Spanish,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.75,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
xlsr,11,0.75,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,0.75,wavlm,11,German->Spanish,linear_svm,0.5,0.8333333333333333,0.33333333333333326,0.5,0.8333333333333334,0.33333333333333337,diagnostic_only
xlsr,11,0.75,wavlm,11,German->Spanish,logistic_regression,0.5,0.8333333333333333,0.33333333333333326,0.5,0.8333333333333334,0.33333333333333337,diagnostic_only
xlsr,11,0.75,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,0.75,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,1.0,xlsr,11,German->Spanish,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,1.0,xlsr,11,German->Spanish,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,1.0,xlsr,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,1.0,xlsr,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,1.0,wavlm,8,German->Spanish,linear_svm,0.5,0.8333333333333333,0.33333333333333326,0.5,0.8333333333333334,0.33333333333333337,diagnostic_only
xlsr,11,1.0,wavlm,8,German->Spanish,logistic_regression,0.5,0.8333333333333333,0.33333333333333326,0.5,0.8333333333333334,0.33333333333333337,diagnostic_only
xlsr,11,1.0,wavlm,8,Spanish->German,linear_svm,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,diagnostic_only
xlsr,11,1.0,wavlm,8,Spanish->German,logistic_regression,0.5,0.6666666666666666,0.16666666666666663,0.5,0.6666666666666666,0.16666666666666663,diagnostic_only
xlsr,11,1.0,wavlm,11,German->Spanish,linear_svm,0.5,0.8333333333333333,0.33333333333333326,0.5,0.8333333333333334,0.33333333333333337,diagnostic_only
xlsr,11,1.0,wavlm,11,German->Spanish,logistic_regression,0.5,0.8333333333333333,0.33333333333333326,0.5,0.8333333333333334,0.33333333333333337,diagnostic_only
xlsr,11,1.0,wavlm,11,Spanish->German,linear_svm,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
xlsr,11,1.0,wavlm,11,Spanish->German,logistic_regression,0.5,0.5,0.0,0.5,0.5,0.0,diagnostic_only
